set,name,display_str,release_date,avg_cmc,avg_power,avg_toughness,avg_effectiveness
lea,Limited Edition Alpha,LEA (1993),1993-08-05,3.4235294117647057,2.2588235294117647,2.988235294117647,-0.5080651534413427
leb,Limited Edition Beta,LEB (1993),1993-10-04,3.4235294117647057,2.2588235294117647,2.988235294117647,-0.5080651534413427
2ed,Unlimited Edition,2ED (1993),1993-12-01,3.4235294117647057,2.2588235294117647,2.988235294117647,-0.5080651534413427
3ed,Revised Edition,3ED (1994),1994-04-01,3.350515463917526,2.2371134020618557,3.0,-0.2930185842374908
4ed,Fourth Edition,4ED (1995),1995-04-01,3.4444444444444446,2.1597222222222223,2.763888888888889,-8.141628594180423
5ed,Fifth Edition,5ED (1997),1997-03-24,3.393063583815029,2.132947976878613,2.566473988439306,-8.34693287652958
6ed,Classic Sixth Edition,6ED (1999),1999-04-21,3.380952380952381,2.2142857142857144,2.611111111111111,-2.0793123956311828
7ed,Seventh Edition,7ED (2001),2001-04-11,3.4893617021276597,2.276595744680851,2.617021276595745,-3.311375303894538
8ed,Eighth Edition,8ED (2003),2003-07-28,3.4172185430463577,2.3178807947019866,2.6556291390728477,0.2198540398641864
9ed,Ninth Edition,9ED (2005),2005-07-29,3.445859872611465,2.286624203821656,2.6305732484076434,-2.795057892378571
10e,Tenth Edition,10E (2007),2007-07-13,3.4884615384615385,2.4423076923076925,2.6346153846153846,-0.6666548540631178
m10,Magic 2010,M10 (2009),2009-07-17,3.466666666666667,2.4285714285714284,2.676190476190476,-1.4859176367509896
m11,Magic 2011,M11 (2010),2010-07-16,3.5398230088495577,2.725663716814159,2.8672566371681416,3.825161042348149
m12,Magic 2012,M12 (2011),2011-07-15,3.5,2.618181818181818,2.672727272727273,-0.8395079822945619
m13,Magic 2013,M13 (2012),2012-07-13,3.4311926605504586,2.385321100917431,2.6513761467889907,-0.5677922968171225
m14,Magic 2014,M14 (2013),2013-07-19,3.532710280373832,2.392523364485981,2.691588785046729,1.0091438450701329
m15,Magic 2015,M15 (2014),2014-07-18,3.566666666666667,2.5833333333333335,2.683333333333333,2.312609574543731
ori,Magic Origins,ORI (2015),2015-07-17,3.467741935483871,2.5483870967741935,2.806451612903226,5.934966842754197
m19,Core Set 2019,M19 (2018),2018-07-13,3.3515625,2.578125,2.875,14.261696318107115
m20,Core Set 2020,M20 (2019),2019-07-12,3.475806451612903,2.5725806451612905,2.846774193548387,8.40127927743729
